latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.44343,4.88134,309.61,0.49,0.4,2026-07-24,211,N,VIIRS,n,2.0NRT,295.27,1.2,N
43.44461,4.89457,304.18,0.49,0.4,2026-07-24,211,N,VIIRS,n,2.0NRT,293.94,1.46,N
43.4419,4.88382,367,0.34,0.56,2026-07-24,1153,N,VIIRS,h,2.0NRT,311.84,6.38,D
43.48272,3.64761,340.92,0.39,0.59,2026-07-24,1153,N,VIIRS,n,2.0NRT,308.46,6.79,D
43.48396,3.65195,367,0.39,0.59,2026-07-24,1153,N,VIIRS,h,2.0NRT,307.53,9.54,D
43.6581,4.41551,352.79,0.35,0.57,2026-07-24,1153,N,VIIRS,n,2.0NRT,310.83,14.6,D
43.65928,4.41975,367,0.35,0.57,2026-07-24,1153,N,VIIRS,h,2.0NRT,308.91,15.38,D
43.78418,4.62607,333.72,0.34,0.56,2026-07-24,1153,N,VIIRS,n,2.0NRT,306.21,1.6,D
43.78531,4.62625,337.77,0.34,0.56,2026-07-24,1153,N,VIIRS,n,2.0NRT,305.9,0.99,D
43.44166,4.88217,333.88,0.39,0.59,2026-07-24,1333,N,VIIRS,l,2.0NRT,308.27,2.97,D
43.48296,3.64942,341.57,0.34,0.56,2026-07-24,1333,N,VIIRS,n,2.0NRT,308.13,4.77,D
43.48792,3.64387,356.44,0.34,0.56,2026-07-24,1333,N,VIIRS,n,2.0NRT,309.42,38.07,D
43.48816,3.64857,367,0.34,0.56,2026-07-24,1333,N,VIIRS,h,2.0NRT,315.33,38.07,D
43.49289,3.63874,208,0.34,0.56,2026-07-24,1333,N,VIIRS,l,2.0NRT,318.91,90.84,D
43.49311,3.64303,367,0.34,0.56,2026-07-24,1333,N,VIIRS,h,2.0NRT,329.59,38.07,D
43.49335,3.64756,367,0.34,0.56,2026-07-24,1333,N,VIIRS,h,2.0NRT,319.64,38.07,D
43.49361,3.65249,338.92,0.34,0.56,2026-07-24,1333,N,VIIRS,n,2.0NRT,304.34,22.03,D
43.49811,3.63841,208,0.34,0.56,2026-07-24,1333,N,VIIRS,l,2.0NRT,307.25,92.64,D
43.49834,3.6426,367,0.34,0.56,2026-07-24,1333,N,VIIRS,h,2.0NRT,334.5,95.92,D
43.49857,3.64696,367,0.34,0.56,2026-07-24,1333,N,VIIRS,h,2.0NRT,304.5,95.92,D
43.41066,4.9028,305.36,0.38,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,292.18,0.63,N
43.43287,4.88666,331.12,0.38,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,293.96,3.56,N
43.43615,4.88766,310.01,0.38,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,292.09,1.02,N
43.44422,4.88026,333.25,0.38,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,295.21,3.95,N
44.16463,3.4568,296.46,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,284.93,0.45,N
44.16722,3.46263,305.59,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,286.59,0.55,N
44.16795,3.45774,297.42,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,284.92,0.55,N
44.16866,3.45284,306.44,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,284.67,0.84,N
44.16938,3.44794,298.93,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,284.98,0.84,N
44.17052,3.46362,301.16,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,286.38,0.55,N
44.17125,3.4587,295.61,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,285.23,0.55,N
44.17197,3.45378,316.77,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,285.6,0.84,N
44.1727,3.44888,302.83,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,284.89,0.84,N
44.17455,3.45967,308.18,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,285.88,1.29,N
44.17528,3.45478,303.99,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,286.57,0.56,N
44.176,3.44986,299.51,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,285.44,0.56,N
44.17858,3.45576,295.72,0.39,0.36,2026-07-25,149,N,VIIRS,n,2.0NRT,285.31,0.56,N
